file_name,bridge_angle,dlman,Fr_ini,plates,cubes,logs,Q[dm],batch,H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,2.0,136.0,14.0,130.0,86.0,695.0,341.0,44.0,0.3684210526315789,,,,3,2.12
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,3.0,163.0,13.7,157.0,82.99999999999999,696.0,342.0,74.00000000000001,0.6526315789473685,,,,3,3.18
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,4.0,166.0,13.7,160.0,82.99999999999999,697.0,343.0,77.00000000000001,0.6842105263157895,0.6842105263157895,65,95,3,4.24
N3_R_2P_F0.55_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,0.0,101.0,14.2,95.0,87.99999999999999,,,7.000000000000014,0.0,,,,4,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,1.0,139.0,13.8,133.0,84.0,699.0,345.0,49.0,0.4,,,,4,1.06
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,2.0,150.0,13.8,144.0,84.0,700.0,346.0,60.0,0.5157894736842106,,,,4,2.12
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,3.0,157.0,14.2,151.0,87.99999999999999,701.0,347.0,63.000000000000014,0.5894736842105263,,,,4,3.18
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,4.0,158.0,14.2,152.0,87.99999999999999,702.0,348.0,64.00000000000001,0.6,0.6,70,90,4,4.24
N3_R_2P_F0.55_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,0.0,101.0,14.1,95.0,87.0,,,8.0,0.0,,,,5,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,1.0,116.0,14.0,110.0,86.0,703.0,349.0,24.0,0.1578947368421052,,,,5,1.06
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,2.0,145.0,13.9,139.0,85.0,704.0,350.0,54.0,0.4631578947368421,,,,5,2.12
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,3.0,158.0,13.9,152.0,85.0,705.0,351.0,67.0,0.6,,,,5,3.18
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,4.0,158.0,13.9,152.0,85.0,706.0,352.0,67.0,0.6,0.6,65,90,5,4.24
N3_R_2P_F0.48_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,0.0,101.0,14.2,95.0,87.99999999999999,,,7.000000000000014,0.0,,,,6,0.0
dried debris,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,1.0,124.0,14.2,118.0,87.99999999999999,707.0,353.0,30.00000000000001,0.2421052631578947,,,,6,1.06
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,2.0,153.0,14.2,147.0,87.99999999999999,708.0,354.0,59.000000000000014,0.5473684210526316,,,,6,2.12
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,3.0,153.0,14.2,147.0,87.99999999999999,709.0,355.0,59.000000000000014,0.5473684210526316,,,,6,3.18
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,4.0,155.0,14.2,149.0,87.99999999999999,710.0,356.0,61.000000000000014,0.5684210526315789,0.5684210526315789,85,95,6,4.24
N3_R_2P_F0.48_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,0.0,101.0,14.2,95.0,87.99999999999999,,,7.000000000000014,0.0,,,,7,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,1.0,122.0,14.2,116.0,87.99999999999999,712.0,357.0,28.00000000000001,0.2210526315789473,,,,7,1.06
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,2.0,126.0,14.2,120.0,87.99999999999999,713.0,358.0,32.000000000000014,0.2631578947368421,,,,7,2.12
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,3.0,149.0,14.2,143.0,87.99999999999999,714.0,359.0,55.000000000000014,0.5052631578947369,,,,7,3.18
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,4.0,149.0,14.2,143.0,87.99999999999999,715.0,360.0,55.000000000000014,0.5052631578947369,0.5052631578947369,82,111,7,4.24
N3_R_2P_F0.4_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,0.0,97.0,14.3,91.0,89.0,,,2.0,0.0,,,,8,0.0
dried debris,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,1.0,106.0,14.2,100.0,87.99999999999999,716.0,361.0,12.000000000000014,0.0989010989010989,,,,8,1.06
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,2.0,111.0,14.2,105.0,87.99999999999999,717.0,362.0,17.000000000000014,0.1538461538461538,,,,8,2.12
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,3.0,122.0,14.0,116.0,86.0,718.0,363.0,30.0,0.2747252747252747,,,,8,3.18
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,4.0,134.0,13.9,128.0,85.0,719.0,364.0,43.0,0.4065934065934066,0.4065934065934066,52,62,8,4.24
N3_R_2P_F0.4_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,0.0,97.0,14.3,91.0,89.0,,,2.0,0.0,,,,9,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,1.0,112.0,14.2,106.0,87.99999999999999,720.0,365.0,18.000000000000014,0.1648351648351648,,,,9,1.06
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,2.0,122.0,14.2,116.0,87.99999999999999,721.0,366.0,28.00000000000001,0.2747252747252747,,,,9,2.12
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,3.0,126.0,14.2,120.0,87.99999999999999,722.0,367.0,32.000000000000014,0.3186813186813186,,,,9,3.18
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,4.0,129.0,14.2,123.0,87.99999999999999,723.0,368.0,35.000000000000014,0.3516483516483517,0.3516483516483517,60,65,9,4.24
N3_R_2P_F0.4_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,0.0,97.0,14.3,91.0,89.0,,,2.0,0.0,,,,10,0.0
dried debris,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,1.0,104.0,14.2,98.0,87.99999999999999,724.0,369.0,10.000000000000014,0.0769230769230769,,,,10,1.06
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,2.0,118.0,14.0,112.0,86.0,725.0,370.0,26.0,0.2307692307692307,,,,10,2.12
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,3.0,131.0,14.0,125.0,86.0,726.0,371.0,39.0,0.3736263736263736,,,,10,3.18
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,4.0,135.0,13.9,129.0,85.0,727.0,372.0,44.0,0.4175824175824176,0.4175824175824176,65,82,10,4.24
N3_R_2P_F0.4_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,0.0,97.0,14.2,91.0,87.99999999999999,,,3.000000000000014,0.0,,,,11,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,1.0,103.0,14.2,97.0,87.99999999999999,728.0,373.0,9.000000000000014,0.0659340659340659,,,,11,1.06
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,2.0,115.0,14.2,109.0,87.99999999999999,729.0,374.0,21.00000000000001,0.1978021978021978,,,,11,2.12
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,3.0,117.0,14.2,111.0,87.99999999999999,730.0,375.0,23.00000000000001,0.2197802197802197,,,,11,3.18
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,4.0,121.0,14.2,115.0,87.99999999999999,731.0,376.0,27.00000000000001,0.2637362637362637,0.2637362637362637,70,95,11,4.24
N3_R_2P_F0.4_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,0.0,97.0,14.2,91.0,87.99999999999999,,,3.000000000000014,0.0,,,,12,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,1.0,110.0,14.2,104.0,87.99999999999999,732.0,377.0,16.000000000000014,0.1428571428571428,,,,12,1.06
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,2.0,118.0,14.1,112.0,87.0,733.0,378.0,25.0,0.2307692307692307,,,,12,2.12
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,3.0,121.0,14.1,115.0,87.0,734.0,379.0,28.0,0.2637362637362637,,,,12,3.18
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,4.0,123.0,14.0,117.0,86.0,736.0,381.0,31.0,0.2857142857142857,0.2857142857142857,78,80,12,4.24
N3_R_2P_F0.4_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,0.0,97.0,14.1,91.0,87.0,,,4.0,0.0,,,,13,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,1.0,108.0,14.1,102.0,87.0,737.0,383.0,15.0,0.1208791208791208,,,,13,1.06
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,2.0,120.0,14.1,114.0,87.0,738.0,384.0,27.0,0.2527472527472527,,,,13,2.12
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,3.0,136.0,14.1,130.0,87.0,739.0,385.0,43.0,0.4285714285714285,,,,13,3.18
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,4.0,137.0,14.1,131.0,87.0,740.0,,44.0,0.4395604395604395,0.4395604395604395,80,84,13,4.24
N3_R_2P_F0.48_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,14,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,1.0,119.0,14.1,113.0,87.0,741.0,386.0,26.0,0.202127659574468,,,,14,1.06
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,2.0,124.0,14.1,118.0,87.0,742.0,387.0,31.0,0.2553191489361702,,,,14,2.12
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,3.0,137.0,13.9,131.0,85.0,743.0,388.0,46.0,0.3936170212765957,,,,14,3.18
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,4.0,140.0,13.9,134.0,85.0,744.0,389.0,49.0,0.425531914893617,0.425531914893617,65,78,14,4.24
N3_R_2P_F0.48_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,15,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,1.0,115.0,14.2,109.0,87.99999999999999,745.0,390.0,21.00000000000001,0.1595744680851064,,,,15,1.06
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,2.0,126.0,14.2,120.0,87.99999999999999,746.0,391.0,32.000000000000014,0.2765957446808511,,,,15,2.12
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,3.0,131.0,14.2,125.0,87.99999999999999,747.0,392.0,37.000000000000014,0.3297872340425531,,,,15,3.18
,45.0,0.0162367646826576,0.48,0.0,0.25,0.75,16.2,4.0,140.0,14.1,134.0,87.0,748.0,393.0,47.0,0.425531914893617,0.425531914893617,64,80,15,4.24
N3_R_2P_F0.48_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,16,0.0
dried debris,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,1.0,108.0,14.2,102.0,87.99999999999999,749.0,394.0,14.000000000000014,0.0851063829787234,,,,16,1.06
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,2.0,152.0,13.6,146.0,82.0,750.0,395.0,64.0,0.5531914893617021,,,,16,2.12
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,3.0,161.0,13.6,155.0,82.0,751.0,396.0,73.0,0.648936170212766,,,,16,3.18
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,4.0,162.0,13.6,156.0,82.0,752.0,397.0,74.0,0.6595744680851063,0.6595744680851063,70,80,16,4.24
N3_R_2P_F0.48_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,17,0.0
dried debris,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,1.0,119.0,14.0,113.0,86.0,753.0,398.0,27.0,0.202127659574468,,,,17,1.06
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,2.0,159.0,14.0,153.0,86.0,754.0,399.0,67.0,0.6276595744680851,,,,17,2.12
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,3.0,164.0,14.0,158.0,86.0,755.0,400.0,72.0,0.6808510638297872,,,,17,3.18
,45.0,0.0162367646826576,0.48,0.25,0.0,0.75,16.2,4.0,166.0,14.0,160.0,86.0,756.0,401.0,74.0,0.7021276595744681,0.7021276595744681,65,80,17,4.24
N3_R_2P_F0.48_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,18,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,1.0,124.0,14.0,118.0,86.0,757.0,402.0,32.0,0.2553191489361702,,,,18,1.06
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,2.0,144.0,14.0,138.0,86.0,758.0,403.0,52.0,0.4680851063829787,,,,18,2.12
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,3.0,146.0,14.0,140.0,86.0,759.0,404.0,54.0,0.4893617021276595,,,,18,3.18
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,4.0,146.0,14.0,140.0,86.0,760.0,405.0,54.0,0.4893617021276595,0.4893617021276595,70,95,18,4.24
N3_R_2P_F0.48_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,19,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,1.0,124.0,14.2,118.0,87.99999999999999,761.0,406.0,30.00000000000001,0.2553191489361702,,,,19,1.06
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,2.0,146.0,14.2,140.0,87.99999999999999,762.0,407.0,52.000000000000014,0.4893617021276595,,,,19,2.12
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,3.0,150.0,14.2,144.0,87.99999999999999,763.0,408.0,56.000000000000014,0.5319148936170213,,,,19,3.18
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,4.0,152.0,14.2,146.0,87.99999999999999,764.0,409.0,58.000000000000014,0.5531914893617021,0.5531914893617021,65,80,19,4.24
N3_R_2P_F0.48_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,0.0,100.0,14.2,94.0,87.99999999999999,,,6.000000000000014,0.0,,,,20,0.0
dried debris,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,1.0,114.0,14.2,108.0,87.99999999999999,765.0,410.0,20.00000000000001,0.1489361702127659,,,,20,1.06
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,2.0,130.0,14.1,124.0,87.0,766.0,411.0,37.0,0.3191489361702128,,,,20,2.12
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,3.0,139.0,14.2,133.0,87.99999999999999,767.0,412.0,45.000000000000014,0.4148936170212766,,,,20,3.18
,45.0,0.0162367646826576,0.48,0.0,0.0,1.0,16.2,4.0,146.0,14.2,140.0,87.99999999999999,768.0,413.0,52.000000000000014,0.4893617021276595,0.4893617021276595,65,80,20,4.24
N3_R_2P_F0.55_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,0.0,102.0,14.0,96.0,86.0,,,10.0,0.0,,,,21,0.0
dried debris,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,1.0,132.0,14.0,126.0,86.0,769.0,414.0,40.0,0.3125,,,,21,1.06
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,2.0,154.0,13.9,148.0,85.0,770.0,415.0,63.0,0.5416666666666666,,,,21,2.12
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,3.0,157.0,13.9,151.0,85.0,771.0,416.0,66.0,0.5729166666666666,,,,21,3.18
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,4.0,184.0,13.9,178.0,85.0,772.0,417.0,93.0,0.8541666666666666,0.8541666666666666,55,75,21,4.24
N3_R_2P_F0.55_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,0.0,102.0,14.0,96.0,86.0,,,10.0,0.0,,,,22,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,1.0,120.0,14.0,114.0,86.0,773.0,418.0,28.0,0.1875,,,,22,1.06
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,2.0,149.0,13.9,143.0,85.0,774.0,419.0,58.0,0.4895833333333333,,,,22,2.12
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,3.0,155.0,13.9,149.0,85.0,775.0,420.0,64.0,0.5520833333333334,,,,22,3.18
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,4.0,175.0,13.9,169.0,85.0,776.0,421.0,84.0,0.7604166666666666,0.7604166666666666,60,75,22,4.24
N3_R_2P_F0.55_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,0.0,102.0,14.0,96.0,86.0,,,10.0,0.0,,,,23,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,1.0,133.0,14.0,127.0,86.0,777.0,422.0,41.0,0.3229166666666667,,,,23,1.06
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,2.0,156.0,13.9,150.0,85.0,778.0,423.0,65.0,0.5625,,,,23,2.12
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,3.0,166.0,13.9,160.0,85.0,779.0,424.0,75.0,0.6666666666666666,,,,23,3.18
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,4.0,172.0,13.9,166.0,85.0,780.0,425.0,81.0,0.7291666666666666,0.7291666666666666,75,82,23,4.24
N3_R_2P_F0.55_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,0.0,102.0,14.0,96.0,86.0,,,10.0,0.0,,,,24,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,1.0,129.0,14.0,123.0,86.0,781.0,426.0,37.0,0.28125,,,,24,1.06
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,2.0,149.0,13.9,143.0,85.0,782.0,427.0,58.0,0.4895833333333333,,,,24,2.12
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,3.0,155.0,13.9,149.0,85.0,783.0,428.0,64.0,0.5520833333333334,,,,24,3.18
,45.0,0.0186046261988786,0.55,0.0,0.0,1.0,18.6,4.0,159.0,13.9,153.0,85.0,784.0,429.0,68.0,0.59375,0.59375,66,90,24,4.24
N3_R_2P_F0.4_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,0.0,97.0,14.0,91.0,86.0,,,5.0,0.0,,,,25,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,1.0,110.0,14.0,104.0,86.0,785.0,430.0,18.0,0.1428571428571428,,,,25,1.06
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,2.0,125.0,14.0,119.0,86.0,786.0,431.0,33.0,0.3076923076923077,,,,25,2.12
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,3.0,127.0,14.0,121.0,86.0,787.0,432.0,35.0,0.3296703296703296,,,,25,3.18
,45.0,0.013530637235548,0.4,0.0,0.25,0.75,13.5,4.0,131.0,14.0,125.0,86.0,788.0,433.0,39.0,0.3736263736263736,0.3736263736263736,76,65,25,4.24
N3_R_2P_F0.4_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,0.0,97.0,14.0,91.0,86.0,,,5.0,0.0,,,,26,0.0
dried debris,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,1.0,117.0,14.0,111.0,86.0,789.0,434.0,25.0,0.2197802197802197,,,,26,1.06
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,2.0,129.0,14.0,123.0,86.0,790.0,435.0,37.0,0.3516483516483517,,,,26,2.12
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,3.0,143.0,14.0,137.0,86.0,791.0,436.0,51.0,0.5054945054945055,,,,26,3.18
,45.0,0.013530637235548,0.4,0.25,0.0,0.75,13.5,4.0,144.0,14.0,138.0,86.0,792.0,437.0,52.0,0.5164835164835165,0.5164835164835165,78,90,26,4.24
N3_R_2P_F0.4_h0.9_0P0C100L_0HR_R1_4L_0HW_45Deg,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,0.0,97.0,14.0,91.0,86.0,,,5.0,0.0,,,,27,0.0
dried debris,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,1.0,112.0,14.0,106.0,86.0,793.0,438.0,20.0,0.1648351648351648,,,,27,1.06
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,2.0,123.0,14.0,117.0,86.0,794.0,439.0,31.0,0.2857142857142857,,,,27,2.12
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,3.0,125.0,14.0,119.0,86.0,795.0,440.0,33.0,0.3076923076923077,,,,27,3.18
,45.0,0.013530637235548,0.4,0.0,0.0,1.0,13.5,4.0,146.0,14.0,140.0,86.0,796.0,441.0,54.0,0.5384615384615384,0.5384615384615384,62,75,27,4.24
N3_R_2P_F0.28_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0094714460648836,0.28,0.0,0.25,0.75,13.5,0.0,97.0,14.3,91.0,89.0,,,2.0,0.0,,,,28,0.0
dried debris - cubes,45.0,0.0094714460648836,0.28,0.0,0.25,0.75,13.5,1.0,101.0,14.3,95.0,89.0,797.0,442.0,6.0,0.0439560439560439,,,,28,1.06
,45.0,0.0094714460648836,0.28,0.0,0.25,0.75,13.5,2.0,103.0,14.3,97.0,89.0,798.0,443.0,8.0,0.0659340659340659,,,,28,2.12
,45.0,0.0094714460648836,0.28,0.0,0.25,0.75,13.5,3.0,105.0,14.2,99.0,87.99999999999999,799.0,444.0,11.000000000000014,0.0879120879120879,,,,28,3.18
,45.0,0.0094714460648836,0.28,0.0,0.25,0.75,13.5,4.0,106.0,14.2,100.0,87.99999999999999,800.0,445.0,12.000000000000014,0.0989010989010989,0.0989010989010989,75,90,28,4.24
N3_R_2P_F0.28_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0094714460648836,0.28,0.25,0.0,0.75,13.5,0.0,97.0,14.3,91.0,89.0,,,2.0,0.0,,,,29,0.0
dried debris - Plates,45.0,0.0094714460648836,0.28,0.25,0.0,0.75,13.5,1.0,104.0,14.3,98.0,89.0,801.0,446.0,9.0,0.0769230769230769,,,,29,1.06
,45.0,0.0094714460648836,0.28,0.25,0.0,0.75,13.5,2.0,106.0,14.25,100.0,88.5,802.0,447.0,11.5,0.0989010989010989,,,,29,2.12
,45.0,0.0094714460648836,0.28,0.25,0.0,0.75,13.5,3.0,109.0,14.2,103.0,87.99999999999999,803.0,448.0,15.000000000000014,0.1318681318681318,,,,29,3.18
,45.0,0.0094714460648836,0.28,0.25,0.0,0.75,13.5,4.0,113.0,14.2,107.0,87.99999999999999,804.0,449.0,19.00000000000001,0.1758241758241758,0.1758241758241758,77,88,29,4.24
